Actual LASK1,Actual LASK2,Actual LASK3,Actual LASK4,Predicted LASK1,Predicted LASK2,Predicted LASK3,Predicted LASK4
5188,5069,4993,5092,5194.760047619047,5071.661619047619,4993.478380952381,5102.695547619048
5177,5080,4992,5097,5186.64,5075.993333333333,4957.168333333334,5095.279333333334
4288,5081,4996,5100,3984.4415000000004,5065.969666666667,4998.804666666667,5095.526666666667
5196,4753,5008,5100,5204.302928571428,4753.7987738095235,5000.145571428571,5048.8645
5188,5109,4001,5081,5195.465,5106.719166666667,4104.075833333333,5063.56
5220,4256,5004,5101,5168.825547619048,4953.336666666665,4999.565333333334,5087.104833333334
5224,4260,5009,5101,5203.510547619047,4757.969761904763,5004.865309523809,4877.083880952381
5189,5069,4992,5096,5192.930992063491,5076.857583333333,4970.210999999999,5095.5633333333335
5180,5077,4992,5088,5189.8775,5078.530833333333,4989.34,5090.4911111111105
5189,5073,4992,5097,5176.043666666667,5075.7725,4990.4225,5096.768
5192,5020,4192,5144,5194.4095,5073.885,4319.290083333333,5103.3407380952385
5200,5077,5029,4161,5194.783166666666,5083.214000000001,5017.92,4289.562142857143
4676,5052,5000,5109,4931.624734487736,5084.8150970418465,4990.400676767677,5095.985324675326
5176,5084,4992,5105,5178.6625,5073.204333333333,4973.388333333333,5089.729166666666
5196,5088,4036,5060,5083.754,5085.469166666668,4129.118333333335,5061.51
5204,5104,5001,4572,5183.151999999999,5112.3803333333335,5007.1016666666665,4163.971333333334
5193,5069,4992,5073,5188.749833333333,5079.380111111112,4872.903452380952,4904.945833333334
5196,5076,4989,5097,5185.0633333333335,5069.523428571429,4991.23,5044.919166666667
5204,5084,4996,5061,5192.1215,5075.607333333333,4990.670666666667,5042.602666666667
5117,5088,4993,5092,5061.745579365079,5079.735642857142,4994.599682539684,5095.820634920635
5177,5085,4749,5116,5186.045999999999,5075.195666666667,4980.051666666667,5094.305166666667
5193,5080,4992,5093,5190.755547619047,5076.093333333333,4906.999365079365,5088.964666666667
5185,5084,4900,5092,5191.073833333334,5079.961666666667,4916.0405,5095.7581666666665
3837,3920,4609,4869,3881.3413333333338,4139.106,4654.162666666666,4908.51
